City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Zhigansk,66.7697,123.3711,-15.25,97,100,16.55,RU,2022-01-21 01:43:08
Misratah,32.3754,15.0925,55.49,56,53,6.04,LY,2022-01-21 01:43:09
Changji,44.0167,87.3167,23.79,93,100,2.24,CN,2022-01-21 01:43:09
Avera,33.194,-82.5271,51.67,93,100,6.93,US,2022-01-21 01:43:09
Karwar,14.8,74.1333,70.07,61,90,4.14,IN,2022-01-21 01:43:10
Pecos,31.4229,-103.4932,35.69,35,100,5.75,US,2022-01-21 01:43:10
Sorong,-0.8833,131.25,80.46,83,100,4.88,ID,2022-01-21 01:43:10
Krasnokholmskiy,55.9873,55.0466,6.94,96,99,7.29,RU,2022-01-21 01:43:11
Sistranda,63.7256,8.834,38.89,88,100,23.69,NO,2022-01-21 01:41:28
Mountain Home,43.133,-115.6912,32.79,100,100,8.05,US,2022-01-21 01:38:50
Astoria,46.1879,-123.8313,46.29,93,100,1.01,US,2022-01-21 01:43:11
Kampong Thum,12.7111,104.8887,77.97,62,89,8.43,KH,2022-01-21 01:43:11
Pointe Michel,15.25,-61.3833,77.85,73,26,21.41,DM,2022-01-21 01:43:12
Senhor Do Bonfim,-10.4614,-40.1894,69.33,84,33,3.38,BR,2022-01-21 01:43:12
Shupiyan,33.7167,74.8333,27.66,92,91,2.68,IN,2022-01-21 01:43:12
Taree,-31.9,152.4667,78.12,57,75,16.11,AU,2022-01-21 01:43:13
Sechura,-5.5569,-80.8222,73.15,76,17,13.78,PE,2022-01-21 01:43:13
Komyshnya,50.1859,33.684,27.93,97,100,10.76,UA,2022-01-21 01:43:14
Coutances,49.05,-1.4333,42.15,77,96,5.77,FR,2022-01-21 01:43:14
Kamina,-8.7386,24.9906,62.11,97,100,1.36,CD,2022-01-21 01:43:14
Labuhan,-6.8844,112.2051,77.13,82,100,5.41,ID,2022-01-21 01:44:15
Talara,-4.5772,-81.2719,72.41,82,98,17.92,PE,2022-01-21 01:44:15
Mirabad,30.4362,61.8383,51.19,53,0,1.68,AF,2022-01-21 01:44:15
Santa Cruz Cabralia,-16.2781,-39.0247,77.23,88,40,2.3,BR,2022-01-21 01:44:16
Arlit,18.7369,7.3853,55.0,24,0,6.35,NE,2022-01-21 01:44:16
Turayf,31.6725,38.6637,25.05,100,0,0.0,SA,2022-01-21 01:44:16
Bonthe,7.5264,-12.505,77.22,85,79,2.95,SL,2022-01-21 01:44:16
Cocobeach,1.0002,9.5823,78.75,83,98,4.81,GA,2022-01-21 01:44:17
Yar-Sale,66.8333,70.8333,12.7,89,99,21.52,RU,2022-01-21 01:44:17
Hare Bay,48.8499,-54.0148,35.2,98,100,7.96,CA,2022-01-21 01:44:17
Antsohihy,-14.8796,47.9875,72.7,98,95,4.47,MG,2022-01-21 01:44:18
Tingo Maria,-9.2895,-76.0088,69.91,98,100,1.99,PE,2022-01-21 01:44:18
Laguna,38.421,-121.4238,62.11,70,0,0.0,US,2022-01-21 01:41:10
Prieska,-29.6641,22.7474,78.94,47,95,7.2,ZA,2022-01-21 01:44:18
Palmer,42.1584,-72.3287,26.15,49,75,1.01,US,2022-01-21 01:44:19
Manadhoo,5.7667,73.3833,80.62,70,100,7.45,MV,2022-01-21 01:44:19
Vyshkov,52.4764,31.6873,26.49,88,87,10.87,RU,2022-01-21 01:44:19
Mao,39.8885,4.2658,43.36,93,0,3.44,ES,2022-01-21 01:44:20
Mormugao,15.4,73.8,69.06,88,88,4.61,IN,2022-01-21 01:41:10
Krasnokamensk,50.0979,118.0369,-2.29,95,93,2.1,RU,2022-01-21 01:44:20
Gusau,12.1628,6.6614,57.78,20,3,12.84,NG,2022-01-21 01:44:20
Riyadh,24.6877,46.7219,42.94,48,0,15.37,SA,2022-01-21 01:40:06
Nha Trang,12.25,109.1833,78.8,72,91,5.75,VN,2022-01-21 01:44:21
Alihe,50.5667,123.7167,3.61,74,97,0.96,CN,2022-01-21 01:44:21
Praia,14.9215,-23.5087,72.14,78,75,9.22,CV,2022-01-21 01:44:21
Palmares Do Sul,-30.2578,-50.5097,77.34,87,40,11.61,BR,2022-01-21 01:44:22
Margate,51.3813,1.3862,37.69,77,36,5.99,GB,2022-01-21 01:44:22
Bagdarin,54.4333,113.6,2.5,94,96,0.78,RU,2022-01-21 01:44:22
Sao Jose Da Coroa Grande,-8.8978,-35.1478,78.87,81,16,6.69,BR,2022-01-21 01:44:23
Tomatlan,19.9333,-105.25,72.37,66,100,3.76,MX,2022-01-21 01:44:23
Hitoyoshi,32.2167,130.75,41.72,36,24,2.19,JP,2022-01-21 01:44:23
Allanridge,-27.7543,26.6438,61.61,87,0,7.83,ZA,2022-01-21 01:44:23
Prince Rupert,54.3161,-130.3201,42.49,99,100,0.0,CA,2022-01-21 01:44:24
Najran,17.4924,44.1277,57.85,56,0,3.87,SA,2022-01-21 01:44:24
Porto Recanati,43.4365,13.6613,40.87,84,100,5.41,IT,2022-01-21 01:44:24
